N_NUMBER,DATE,ORIGIN,DEST,DURATION_MIN
N123AB,2026-05-04,SRQ,SRQ,54
N123AB,2026-05-11,SRQ,SRQ,61
N123AB,2026-05-18,SRQ,SRQ,48
N123AB,2026-05-26,SRQ,VNC,38
N123AB,2026-06-01,VNC,SRQ,35
N123AB,2026-06-08,SRQ,SRQ,57
N123AB,2026-06-15,SRQ,SRQ,49
N123AB,2026-06-22,SRQ,SRQ,66
N123AB,2026-06-29,SRQ,SRQ,52
N123AB,2026-07-03,SRQ,SRQ,45
N456CD,2026-04-12,BDU,APA,32
N456CD,2026-04-26,APA,BDU,29
N456CD,2026-05-15,BDU,SLC,118
N456CD,2026-05-18,SLC,BDU,109
N456CD,2026-06-21,BDU,SAF,95
N456CD,2026-06-23,SAF,BDU,92
N789EF,2025-09-12,OPF,OPF,35
N789EF,2025-10-05,OPF,EYW,52
N789EF,2025-10-05,EYW,OPF,55
N789EF,2025-11-14,OPF,TPA,71
N789EF,2025-11-15,TPA,OPF,68
N789EF,2026-06-20,OPF,ILG,204
