t_seconds,sensor_type,metric,value,unit,quality_score
0,mock_pressure,pressure_value,0.8658,normalized,0.916
0,mock_pressure,occupancy_score,0.8955,score,0.916
0,mock_radar,occupancy_score,0.9159,score,0.893
0,mock_radar,radar_motion_score,0.1031,score,0.893
0,mock_radar,radar_micro_motion_score,0.5368,score,0.893
0,mock_radar,breathing_like_score,0.7052,score,0.893
1,mock_pressure,pressure_value,0.8511,normalized,0.912
1,mock_pressure,occupancy_score,0.8854,score,0.912
1,mock_radar,occupancy_score,0.9019,score,0.892
1,mock_radar,radar_motion_score,0.1102,score,0.892
1,mock_radar,radar_micro_motion_score,0.7262,score,0.892
1,mock_radar,breathing_like_score,0.8045,score,0.892
2,mock_pressure,pressure_value,0.853,normalized,0.898
2,mock_pressure,occupancy_score,0.909,score,0.898
2,mock_radar,occupancy_score,0.8845,score,0.894
2,mock_radar,radar_motion_score,0.1032,score,0.894
2,mock_radar,radar_micro_motion_score,0.5107,score,0.894
2,mock_radar,breathing_like_score,0.7176,score,0.894
3,mock_pressure,pressure_value,0.8448,normalized,0.901
3,mock_pressure,occupancy_score,0.8949,score,0.901
3,mock_radar,occupancy_score,0.8291,score,0.902
3,mock_radar,radar_motion_score,0.0887,score,0.902
3,mock_radar,radar_micro_motion_score,0.2095,score,0.902
3,mock_radar,breathing_like_score,0.655,score,0.902
4,mock_pressure,pressure_value,0.8502,normalized,0.931
4,mock_pressure,occupancy_score,0.9466,score,0.931
4,mock_radar,occupancy_score,0.8147,score,0.9
4,mock_radar,radar_motion_score,0.1106,score,0.9
4,mock_radar,radar_micro_motion_score,0.5355,score,0.9
4,mock_radar,breathing_like_score,0.7243,score,0.9
5,mock_pressure,pressure_value,0.8356,normalized,0.949
5,mock_pressure,occupancy_score,0.9033,score,0.949
5,mock_radar,occupancy_score,0.8876,score,0.937
5,mock_radar,radar_motion_score,0.1133,score,0.937
5,mock_radar,radar_micro_motion_score,0.7697,score,0.937
5,mock_radar,breathing_like_score,0.8028,score,0.937
6,mock_pressure,pressure_value,0.8549,normalized,0.924
6,mock_pressure,occupancy_score,0.8503,score,0.924
6,mock_radar,occupancy_score,0.8662,score,0.888
6,mock_radar,radar_motion_score,0.1199,score,0.888
6,mock_radar,radar_micro_motion_score,0.5234,score,0.888
6,mock_radar,breathing_like_score,0.7259,score,0.888
7,mock_pressure,pressure_value,0.8711,normalized,0.909
7,mock_pressure,occupancy_score,0.9411,score,0.909
7,mock_radar,occupancy_score,0.8821,score,0.915
7,mock_radar,radar_motion_score,0.1469,score,0.915
7,mock_radar,radar_micro_motion_score,0.2787,score,0.915
7,mock_radar,breathing_like_score,0.6776,score,0.915
8,mock_pressure,pressure_value,0.8569,normalized,0.888
8,mock_pressure,occupancy_score,0.8792,score,0.888
8,mock_radar,occupancy_score,0.8569,score,0.913
8,mock_radar,radar_motion_score,0.0669,score,0.913
8,mock_radar,radar_micro_motion_score,0.5254,score,0.913
8,mock_radar,breathing_like_score,0.6635,score,0.913
9,mock_pressure,pressure_value,0.855,normalized,0.883
9,mock_pressure,occupancy_score,0.8846,score,0.883
9,mock_radar,occupancy_score,0.8637,score,0.893
9,mock_radar,radar_motion_score,0.1135,score,0.893
9,mock_radar,radar_micro_motion_score,0.7361,score,0.893
9,mock_radar,breathing_like_score,0.7759,score,0.893
10,mock_pressure,pressure_value,0.7949,normalized,0.924
10,mock_pressure,occupancy_score,0.9069,score,0.924
10,mock_radar,occupancy_score,0.8103,score,0.889
10,mock_radar,radar_motion_score,0.7785,score,0.889
10,mock_radar,radar_micro_motion_score,0.5122,score,0.889
10,mock_radar,breathing_like_score,0.3786,score,0.889
11,mock_pressure,pressure_value,0.6032,normalized,0.913
11,mock_pressure,occupancy_score,0.616,score,0.913
11,mock_radar,occupancy_score,0.7039,score,0.903
11,mock_radar,radar_motion_score,0.945,score,0.903
11,mock_radar,radar_micro_motion_score,0.5669,score,0.903
11,mock_radar,breathing_like_score,0.0755,score,0.903
12,mock_pressure,pressure_value,0.3092,normalized,0.948
12,mock_pressure,occupancy_score,0.3743,score,0.948
12,mock_radar,occupancy_score,0.4469,score,0.887
12,mock_radar,radar_motion_score,0.8663,score,0.887
12,mock_radar,radar_micro_motion_score,0.5572,score,0.887
12,mock_radar,breathing_like_score,0.2482,score,0.887
13,mock_pressure,pressure_value,0.0402,normalized,0.926
