t_seconds,sensor_type,metric,value,unit,quality_score
0,mock_pressure,pressure_value,0.0605,normalized,0.916
0,mock_pressure,occupancy_score,0.0555,score,0.916
0,mock_radar,occupancy_score,0.1459,score,0.893
0,mock_radar,radar_motion_score,0.0421,score,0.893
0,mock_radar,radar_micro_motion_score,0.0745,score,0.893
0,mock_radar,breathing_like_score,0.0352,score,0.893
1,mock_pressure,pressure_value,0.0508,normalized,0.912
1,mock_pressure,occupancy_score,0.0454,score,0.912
1,mock_radar,occupancy_score,0.1319,score,0.892
1,mock_radar,radar_motion_score,0.0468,score,0.892
1,mock_radar,radar_micro_motion_score,0.0341,score,0.892
1,mock_radar,breathing_like_score,0.0845,score,0.892
2,mock_pressure,pressure_value,0.052,normalized,0.898
2,mock_pressure,occupancy_score,0.069,score,0.898
2,mock_radar,occupancy_score,0.1145,score,0.894
2,mock_radar,radar_motion_score,0.0421,score,0.894
2,mock_radar,radar_micro_motion_score,0.0571,score,0.894
2,mock_radar,breathing_like_score,0.0476,score,0.894
3,mock_pressure,pressure_value,0.0465,normalized,0.901
3,mock_pressure,occupancy_score,0.0549,score,0.901
3,mock_radar,occupancy_score,0.0591,score,0.902
3,mock_radar,radar_motion_score,0.0325,score,0.902
3,mock_radar,radar_micro_motion_score,0.023,score,0.902
3,mock_radar,breathing_like_score,0.035,score,0.902
4,mock_pressure,pressure_value,0.0501,normalized,0.931
4,mock_pressure,occupancy_score,0.1066,score,0.931
4,mock_radar,occupancy_score,0.0447,score,0.9
4,mock_radar,radar_motion_score,0.0471,score,0.9
4,mock_radar,radar_micro_motion_score,0.0736,score,0.9
4,mock_radar,breathing_like_score,0.0543,score,0.9
5,mock_pressure,pressure_value,0.0404,normalized,0.949
5,mock_pressure,occupancy_score,0.0633,score,0.949
5,mock_radar,occupancy_score,0.1176,score,0.937
5,mock_radar,radar_motion_score,0.0489,score,0.937
5,mock_radar,radar_micro_motion_score,0.0631,score,0.937
5,mock_radar,breathing_like_score,0.0828,score,0.937
6,mock_pressure,pressure_value,0.0533,normalized,0.924
6,mock_pressure,occupancy_score,0.0103,score,0.924
6,mock_radar,occupancy_score,0.0962,score,0.888
6,mock_radar,radar_motion_score,0.0532,score,0.888
6,mock_radar,radar_micro_motion_score,0.0656,score,0.888
6,mock_radar,breathing_like_score,0.0559,score,0.888
7,mock_pressure,pressure_value,0.064,normalized,0.909
7,mock_pressure,occupancy_score,0.1011,score,0.909
7,mock_radar,occupancy_score,0.1121,score,0.915
7,mock_radar,radar_motion_score,0.0713,score,0.915
7,mock_radar,radar_micro_motion_score,0.0691,score,0.915
7,mock_radar,breathing_like_score,0.0576,score,0.915
8,mock_pressure,pressure_value,0.0546,normalized,0.888
8,mock_pressure,occupancy_score,0.0392,score,0.888
8,mock_radar,occupancy_score,0.0869,score,0.913
8,mock_radar,radar_motion_score,0.0179,score,0.913
8,mock_radar,radar_micro_motion_score,0.067,score,0.913
8,mock_radar,breathing_like_score,0.0,score,0.913
9,mock_pressure,pressure_value,0.0533,normalized,0.883
9,mock_pressure,occupancy_score,0.0446,score,0.883
9,mock_radar,occupancy_score,0.0937,score,0.893
9,mock_radar,radar_motion_score,0.049,score,0.893
9,mock_radar,radar_micro_motion_score,0.0407,score,0.893
9,mock_radar,breathing_like_score,0.0559,score,0.893
10,mock_pressure,pressure_value,0.0316,normalized,0.924
10,mock_pressure,occupancy_score,0.0634,score,0.924
10,mock_radar,occupancy_score,0.0562,score,0.889
10,mock_radar,radar_motion_score,0.0162,score,0.889
10,mock_radar,radar_micro_motion_score,0.0324,score,0.889
10,mock_radar,breathing_like_score,0.0886,score,0.889
11,mock_pressure,pressure_value,0.0566,normalized,0.913
11,mock_pressure,occupancy_score,0.0513,score,0.913
11,mock_radar,occupancy_score,0.1124,score,0.903
11,mock_radar,radar_motion_score,0.0717,score,0.903
11,mock_radar,radar_micro_motion_score,0.0434,score,0.903
11,mock_radar,breathing_like_score,0.0,score,0.903
12,mock_pressure,pressure_value,0.0475,normalized,0.948
12,mock_pressure,occupancy_score,0.0638,score,0.948
12,mock_radar,occupancy_score,0.0781,score,0.887
12,mock_radar,radar_motion_score,0.0454,score,0.887
12,mock_radar,radar_micro_motion_score,0.0414,score,0.887
12,mock_radar,breathing_like_score,0.0495,score,0.887
13,mock_pressure,pressure_value,0.0402,normalized,0.926
13,mock_pressure,occupancy_score,0.104,score,0.926
13,mock_radar,occupancy_score,0.1012,score,0.919
13,mock_radar,radar_motion_score,0.0462,score,0.919
13,mock_radar,radar_micro_motion_score,0.0689,score,0.919
13,mock_radar,breathing_like_score,0.064,score,0.919
14,mock_pressure,pressure_value,0.0442,normalized,0.889
14,mock_pressure,occupancy_score,0.0199,score,0.889
14,mock_radar,occupancy_score,0.0246,score,0.897
14,mock_radar,radar_motion_score,0.0399,score,0.897
14,mock_radar,radar_micro_motion_score,0.0245,score,0.897
14,mock_radar,breathing_like_score,0.0954,score,0.897
15,mock_pressure,pressure_value,0.056,normalized,0.924
15,mock_pressure,occupancy_score,0.0836,score,0.924
15,mock_radar,occupancy_score,0.0624,score,0.875
15,mock_radar,radar_motion_score,0.0747,score,0.875
15,mock_radar,radar_micro_motion_score,0.027,score,0.875
15,mock_radar,breathing_like_score,0.0424,score,0.875
16,mock_pressure,pressure_value,0.0473,normalized,0.919
16,mock_pressure,occupancy_score,0.0692,score,0.919
16,mock_radar,occupancy_score,0.0315,score,0.901
16,mock_radar,radar_motion_score,0.0079,score,0.901
16,mock_radar,radar_micro_motion_score,0.0542,score,0.901
16,mock_radar,breathing_like_score,0.0405,score,0.901
17,mock_pressure,pressure_value,0.0435,normalized,0.919
17,mock_pressure,occupancy_score,0.0346,score,0.919
17,mock_radar,occupancy_score,0.0808,score,0.886
17,mock_radar,radar_motion_score,0.0287,score,0.886
