rank,county_fips,county_name,label_period,predicted_probability,actual_event
1,39035,"Cuyahoga, OH",2014-07-01,0.530692,1
2,51019,"Bedford, VA",2015-04-01,0.435695,0
3,22017,"Caddo, LA",2014-04-01,0.317882,1
4,53033,"King, WA",2014-04-01,0.300561,0
5,05119,"Pulaski, AR",2015-02-01,0.281485,1
6,22103,"St. Tammany, LA",2015-04-01,0.261265,1
7,46102,"Oglala Lakota, SD",2014-11-01,0.260822,1
8,21111,"Jefferson, KY",2014-07-01,0.247098,0
9,19153,"Polk, IA",2015-02-01,0.230643,0
10,27053,"Hennepin, MN",2015-02-01,0.184792,0
11,51019,"Bedford, VA",2014-07-01,0.155127,0
12,38017,"Cass, ND",2014-11-01,0.153753,0
13,44007,"Providence, RI",2014-11-01,0.129031,0
14,53033,"King, WA",2014-11-01,0.124994,0
15,17031,"Cook, IL",2015-02-01,0.117653,0
16,49035,"Salt Lake, UT",2015-02-01,0.117343,0
17,40109,"Oklahoma, OK",2015-02-01,0.109932,0
18,12095,"Orange, FL",2014-04-01,0.081939,0
19,47157,"Shelby, TN",2015-04-01,0.079194,0
20,49035,"Salt Lake, UT",2015-04-01,0.073872,0
21,44007,"Providence, RI",2015-02-01,0.073837,0
22,21111,"Jefferson, KY",2014-11-01,0.071529,0
23,48453,"Travis, TX",2014-04-01,0.069968,0
24,49035,"Salt Lake, UT",2014-07-01,0.066629,0
25,31055,"Douglas, NE",2014-04-01,0.055148,0
26,41051,"Multnomah, OR",2015-04-01,0.053913,0
27,48113,"Dallas, TX",2014-07-01,0.046698,0
28,41051,"Multnomah, OR",2014-07-01,0.038602,0
29,27053,"Hennepin, MN",2014-07-01,0.03612,0
30,27053,"Hennepin, MN",2015-04-01,0.036062,0
31,35013,"Dona Ana, NM",2015-02-01,0.0325,0
32,48453,"Travis, TX",2014-07-01,0.032442,0
33,06037,"Los Angeles, CA",2014-04-01,0.026607,0
34,31055,"Douglas, NE",2015-02-01,0.023857,0
35,02020,"Anchorage, AK",2015-04-01,0.021482,0
36,35013,"Dona Ana, NM",2014-07-01,0.021206,0
37,04013,"Maricopa, AZ",2014-07-01,0.016676,0
38,04013,"Maricopa, AZ",2014-04-01,0.016572,0
39,11001,"District of Columbia, DC",2015-04-01,0.014931,0
40,44007,"Providence, RI",2015-04-01,0.014176,0
41,30111,"Yellowstone, MT",2014-04-01,0.011959,0
42,35013,"Dona Ana, NM",2014-11-01,0.010917,0
43,08031,"Denver, CO",2014-11-01,0.010652,0
44,36047,"Kings, NY",2014-07-01,0.010619,0
45,45079,"Richland, SC",2014-04-01,0.010604,0
46,06037,"Los Angeles, CA",2015-04-01,0.010507,0
47,13121,"Fulton, GA",2014-07-01,0.009503,0
48,37119,"Mecklenburg, NC",2015-04-01,0.007528,0
49,10003,"New Castle, DE",2014-04-01,0.00335,0
50,13121,"Fulton, GA",2015-04-01,0.001876,0
51,55079,"Milwaukee, WI",2014-07-01,0.001514,0
