claim_id,score,decision,decision_reason,rules_applied
ucfl-fixture016,15,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;source_not_verified
ucfl-fixture023,15,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;source_not_verified
ucfl-fixture018,-5,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;source_not_verified
ucfl-fixture011,-25,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;source_not_verified
ucfl-fixture001,-35,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;fee_or_legal_restriction_unclear;source_not_verified
ucfl-fixture003,-35,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;fee_or_legal_restriction_unclear;source_not_verified
ucfl-fixture008,-35,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;successor_or_agent_found;claim_process_clear;official_court_or_agency_source;fee_or_legal_restriction_unclear;source_not_verified
ucfl-fixture025,-45,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claimant_dissolved_inactive_merged;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture004,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture006,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture007,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture010,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture012,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture014,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture017,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture020,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture021,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture024,-65,PARK,source not programmatically verified (-100); no production decision permitted,amount_over_10000;business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture002,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture005,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture009,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture013,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture015,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture019,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture022,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
ucfl-fixture026,-95,PARK,source not programmatically verified (-100); no production decision permitted,business_entity_claimant;claim_process_clear;official_court_or_agency_source;ownership_chain_unclear;source_not_verified
