claim_id,source_name,source_status,source_url,court_or_agency,state,county_or_district,case_number,case_name,debtor_name,claimant_name,claimant_type,amount,fund_type,date_deposited,last_updated,claim_process_url,raw_text,raw_file_path,fetched_at
ucfl-fixture001,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,TX,Bankr. S.D. Demo,0:00-bk-90001-DEMO,In re Demo Debtor 001 Corp,DEMO DEBTOR 001 CORP,MERIDIAN FIXTURE FREIGHT LINES INC,business,18400,bankruptcy_unclaimed_funds,2011-02-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture002,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. C.D. Demo,PA,Bankr. C.D. Demo,0:00-bk-90002-DEMO,In re Demo Debtor 002 Corp,DEMO DEBTOR 002 CORP,CASCADE DEMO STEEL SUPPLY CO,business,9250,bankruptcy_unclaimed_funds,2012-03-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture003,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. E.D. Demo,CA,Bankr. E.D. Demo,0:00-bk-90003-DEMO,In re Demo Debtor 003 Corp,DEMO DEBTOR 003 CORP,HARBORVIEW FIXTURE FACTORS LLC,business,42100,bankruptcy_unclaimed_funds,2013-04-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture004,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. W.D. Demo,GA,Bankr. W.D. Demo,0:00-bk-90004-DEMO,In re Demo Debtor 004 Corp,DEMO DEBTOR 004 CORP,PINNACLE DEMO EQUIPMENT LEASING CORP,business,12750,bankruptcy_unclaimed_funds,2014-05-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture005,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. N.D. Demo,IL,Bankr. N.D. Demo,0:00-bk-90005-DEMO,In re Demo Debtor 005 Corp,DEMO DEBTOR 005 CORP,BLUE RIDGE FIXTURE WHOLESALE INC,business,7300,bankruptcy_unclaimed_funds,2015-06-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture006,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,FL,Bankr. S.D. Demo,0:00-bk-90006-DEMO,In re Demo Debtor 006 Corp,DEMO DEBTOR 006 CORP,LAKESIDE DEMO DISTRIBUTING COMPANY,business,15600,bankruptcy_unclaimed_funds,2016-07-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture007,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. C.D. Demo,NY,Bankr. C.D. Demo,0:00-bk-90007-DEMO,In re Demo Debtor 007 Corp,DEMO DEBTOR 007 CORP,IRONWORKS FIXTURE MANUFACTURING LLC,business,28900,bankruptcy_unclaimed_funds,2017-08-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture008,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. E.D. Demo,NJ,Bankr. E.D. Demo,0:00-bk-90008-DEMO,In re Demo Debtor 008 Corp,DEMO DEBTOR 008 CORP,SUMMIT DEMO SURETY & INSURANCE CO,business,61200,bankruptcy_unclaimed_funds,2018-09-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture009,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. W.D. Demo,MI,Bankr. W.D. Demo,0:00-bk-90009-DEMO,In re Demo Debtor 009 Corp,DEMO DEBTOR 009 CORP,REDSTONE FIXTURE FINANCE CORP,business,8850,bankruptcy_unclaimed_funds,2019-01-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture010,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. N.D. Demo,OH,Bankr. N.D. Demo,0:00-bk-90010-DEMO,In re Demo Debtor 010 Corp,DEMO DEBTOR 010 CORP,GATEWAY DEMO ACCEPTANCE CORP,business,19750,bankruptcy_unclaimed_funds,2020-02-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture011,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,TX,Bankr. S.D. Demo,0:00-bk-90011-DEMO,In re Demo Debtor 011 Corp,DEMO DEBTOR 011 CORP,NORTHFIELD FIXTURE SAVINGS BANK,business,33400,bankruptcy_unclaimed_funds,2021-03-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture012,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. C.D. Demo,PA,Bankr. C.D. Demo,0:00-bk-90012-DEMO,In re Demo Debtor 012 Corp,DEMO DEBTOR 012 CORP,CROSSTOWN DEMO MORTGAGE LLC,business,11100,bankruptcy_unclaimed_funds,2010-04-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture013,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. E.D. Demo,CA,Bankr. E.D. Demo,0:00-bk-90013-DEMO,In re Demo Debtor 013 Corp,DEMO DEBTOR 013 CORP,TIMBERLINE FIXTURE LUMBER CO,business,6450,bankruptcy_unclaimed_funds,2011-05-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture014,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. W.D. Demo,GA,Bankr. W.D. Demo,0:00-bk-90014-DEMO,In re Demo Debtor 014 Corp,DEMO DEBTOR 014 CORP,KEYSTONE DEMO FREIGHT PARTNERS LP,business,24300,bankruptcy_unclaimed_funds,2012-06-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture015,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. N.D. Demo,IL,Bankr. N.D. Demo,0:00-bk-90015-DEMO,In re Demo Debtor 015 Corp,DEMO DEBTOR 015 CORP,RIVERBEND FIXTURE LOGISTICS INC,business,9900,bankruptcy_unclaimed_funds,2013-07-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture016,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,FL,Bankr. S.D. Demo,0:00-bk-90016-DEMO,In re Demo Debtor 016 Corp,DEMO DEBTOR 016 CORP,UNION DEMO PENSION SERVICES LLC,business,47800,bankruptcy_unclaimed_funds,2014-08-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
